1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	6	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	just	_	RB	RB	_	6	advmod	_	_
6	spent	_	VBD	VBD	_	0	root	_	_
7	3	_	CD	CD	_	8	num	_	_
8	nights	_	NNS	NNS	_	6	tmod	_	_
9	at	_	IN	IN	_	6	prep	_	_
10	The	_	DT	DT	_	11	det	_	_
11	Talbott	_	NNP	NNP	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	spacious	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	comfortable	_	JJ	JJ	_	4	conj	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	well-appointed	_	JJ	JJ	_	4	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	quiet	_	JJ	JJ	_	0	root	_	_
5	although	_	IN	IN	_	7	mark	_	_
6	there	_	EX	EX	_	7	expl	_	_
7	is	_	VBZ	VBZ	_	4	advcl	_	_
8	some	_	DT	DT	_	9	det	_	_
9	construction	_	NN	NN	_	7	nsubj	_	_
10	nearby	_	RB	RB	_	7	advmod	_	_
11	.	_	.	.	_	0	erased	_	_

1	Linens	_	NNS	NNS	_	4	nsubj	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	towels	_	NNS	NNS	_	1	conj	_	_
4	first-class	_	VBZ	VBZ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Free	_	NNP	NNP	_	2	nn	_	_
2	Wi-Fi	_	NNP	NNP	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	room	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	terrific	_	JJ	JJ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	just	_	RB	RB	_	4	advmod	_	_
7	one	_	CD	CD	_	8	num	_	_
8	block	_	NN	NN	_	4	dep	_	_
9	to	_	TO	TO	_	8	prep	_	_
10	Michigan	_	NNP	NNP	_	11	nn	_	_
11	Avenue	_	NNP	NNP	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	stay	_	VB	VB	_	0	root	_	_
4	here	_	RB	RB	_	3	advmod	_	_
5	on	_	IN	IN	_	3	prep	_	_
6	future	_	JJ	JJ	_	7	amod	_	_
7	visits	_	NNS	NNS	_	5	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

