1	Oh	_	UH	UH	_	7	discourse	_	_
2	my	_	PRP$	PRP$	_	1	poss	_	_
3	goodness	_	NNP	NNP	_	1	dep	_	_
4	,	_	,	,	_	0	erased	_	_
5	this	_	DT	DT	_	7	nsubj	_	_
6	has	_	VBZ	VBZ	_	7	aux	_	_
7	got	_	VBN	VBN	_	0	root	_	_
8	to	_	TO	TO	_	10	aux	_	_
9	be	_	VB	VB	_	10	cop	_	_
10	one	_	CD	CD	_	7	xcomp	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	14	det	_	_
13	worst	_	JJS	JJS	_	14	amod	_	_
14	places	_	NNS	NNS	_	11	pobj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	stay	_	VB	VB	_	10	vmod	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	all	_	DT	DT	_	17	pobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	downtown	_	JJ	JJ	_	21	amod	_	_
21	Chicago	_	NNP	NNP	_	19	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	all	_	DT	DT	_	3	advmod	_	_
3	went	_	VBD	VBD	_	0	root	_	_
4	well	_	RB	RB	_	5	advmod	_	_
5	enough	_	RB	RB	_	3	advmod	_	_
6	checking	_	VBG	VBG	_	3	xcomp	_	_
7	in	_	RP	RP	_	6	prt	_	_
8	,	_	,	,	_	0	erased	_	_
9	but	_	CC	CC	_	3	cc	_	_
10	them	_	PRP	PRP	_	11	nsubj	_	_
11	went	_	VBD	VBD	_	3	conj	_	_
12	downhill	_	RB	RB	_	11	advmod	_	_
13	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	5	expl	_	_
2	was	_	VBD	VBD	_	5	auxpass	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	much	_	RB	RB	_	5	advmod	_	_
5	left	_	VBN	VBN	_	0	root	_	_
6	to	_	TO	TO	_	8	aux	_	_
7	be	_	VB	VB	_	8	cop	_	_
8	desired	_	JJ	JJ	_	5	xcomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	biggest	_	JJS	JJS	_	3	amod	_	_
3	problem	_	NN	NN	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	a	_	DT	DT	_	7	det	_	_
6	huge	_	JJ	JJ	_	7	amod	_	_
7	turd	_	NN	NN	_	13	ccomp	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	toilet	_	NN	NN	_	8	pobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	I	_	PRP	PRP	_	13	nsubj	_	_
13	kid	_	VBZ	VBZ	_	0	root	_	_
14	you	_	PRP	PRP	_	13	dobj	_	_
15	not	_	RB	RB	_	13	neg	_	_
16	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	guess	_	VBP	VBP	_	23	ccomp	_	_
3	the	_	DT	DT	_	4	det	_	_
4	maid	_	NN	NN	_	7	nsubj	_	_
5	was	_	VBD	VBD	_	7	cop	_	_
6	rather	_	RB	RB	_	7	advmod	_	_
7	busy	_	JJ	JJ	_	2	ccomp	_	_
8	that	_	DT	DT	_	9	det	_	_
9	day	_	NN	NN	_	7	tmod	_	_
10	or	_	CC	CC	_	7	cc	_	_
11	took	_	VBD	VBD	_	7	conj	_	_
12	a	_	DT	DT	_	13	det	_	_
13	break	_	NN	NN	_	11	dobj	_	_
14	and	_	CC	CC	_	2	cc	_	_
15	forgot	_	VBD	VBD	_	2	conj	_	_
16	about	_	IN	IN	_	15	prep	_	_
17	it	_	PRP	PRP	_	16	pobj	_	_
18	,	_	,	,	_	0	erased	_	_
19	I	_	PRP	PRP	_	23	nsubj	_	_
20	just	_	RB	RB	_	23	advmod	_	_
21	do	_	VBP	VBP	_	23	aux	_	_
22	n't	_	RB	RB	_	23	neg	_	_
23	know	_	VB	VB	_	0	root	_	_
24	.	_	.	.	_	0	erased	_	_

1	But	_	CC	CC	_	13	cc	_	_
2	for	_	IN	IN	_	13	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	prices	_	NNS	NNS	_	2	pobj	_	_
5	they	_	PRP	PRP	_	6	nsubj	_	_
6	charge	_	VBP	VBP	_	13	parataxis	_	_
7	,	_	,	,	_	0	erased	_	_
8	this	_	DT	DT	_	9	det	_	_
9	type	_	NN	NN	_	13	nsubj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	thing	_	NN	NN	_	10	pobj	_	_
12	is	_	VBZ	VBZ	_	13	cop	_	_
13	unacceptable	_	JJ	JJ	_	0	root	_	_
14	.	_	.	.	_	0	erased	_	_

1	Most	_	JJS	JJS	_	2	amod	_	_
2	everything	_	NN	NN	_	10	nsubjpass	_	_
3	else	_	RB	RB	_	10	advmod	_	_
4	about	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	7	det	_	_
6	actual	_	JJ	JJ	_	7	amod	_	_
7	room	_	NN	NN	_	4	pobj	_	_
8	was	_	VBD	VBD	_	10	auxpass	_	_
9	as	_	RB	RB	_	10	advmod	_	_
10	expected	_	VBN	VBN	_	0	root	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	noise	_	NN	NN	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	a	_	DT	DT	_	5	det	_	_
5	bit	_	RB	RB	_	6	npadvmod	_	_
6	more	_	JJR	JJR	_	0	root	_	_
7	than	_	IN	IN	_	10	mark	_	_
8	I	_	PRP	PRP	_	10	nsubjpass	_	_
9	'm	_	VBP	VBP	_	10	auxpass	_	_
