1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stopped	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	breakfast	_	NN	NN	_	7	pobj	_	_
9	while	_	IN	IN	_	10	mark	_	_
10	walking	_	VBG	VBG	_	5	advcl	_	_
11	around	_	RP	RP	_	10	prt	_	_
12	on	_	IN	IN	_	10	prep	_	_
13	Michigan	_	NNP	NNP	_	14	nn	_	_
14	Ave	_	NNP	NNP	_	12	pobj	_	_
15	one	_	CD	CD	_	16	num	_	_
16	morning	_	NN	NN	_	14	dep	_	_
17	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	delish	_	JJ	JJ	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	both	_	DT	DT	_	3	dep	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	the	_	DT	DT	_	6	det	_	_
5	breakfast	_	NN	NN	_	6	nn	_	_
6	buffet	_	NN	NN	_	3	dobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	pancakes	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	superb	_	JJ	JJ	_	0	root	_	_
5	as	_	IN	IN	_	9	mark	_	_
6	were	_	VBD	VBD	_	9	cop	_	_
7	the	_	DT	DT	_	9	det	_	_
8	breakfast	_	NN	NN	_	9	nn	_	_
9	potatoes	_	NNS	NNS	_	4	dep	_	_
10	.	_	.	.	_	0	erased	_	_

